candidate_id,rank,score,reasoning
CAND_0061265,1,0.6874,"Strong semantic match (0.69) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0041610,2,0.6641,"Strong semantic match (0.66) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0064326,3,0.6595,"Strong semantic match (0.66) with 7 years of relevant experience, demonstrating hands-on expertise in Python. Excellent alignment with target product-engineering scale and structural background."
CAND_0066999,4,0.6372,"Strong semantic match (0.64) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0018722,5,0.6294,"Strong semantic match (0.63) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0055992,6,0.6235,"Strong semantic match (0.62) with 16 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0081846,7,0.6226,"Strong semantic match (0.62) with 6 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0099806,8,0.6218,"Strong semantic match (0.62) with 4 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0049538,9,0.6127,"Strong semantic match (0.61) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0052328,10,0.6088,"Strong semantic match (0.61) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0014440,11,0.6083,"Strong semantic match (0.61) with 6 years of relevant experience, demonstrating hands-on expertise in FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0017960,12,0.6064,"Strong semantic match (0.61) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0026532,13,0.6054,"Strong semantic match (0.61) with 4 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0030348,14,0.6028,"Strong semantic match (0.60) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0040887,15,0.6007,"Strong semantic match (0.60) with 4 years of relevant experience, demonstrating hands-on expertise in Python, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0083307,16,0.5983,"Strong semantic match (0.60) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0037944,17,0.597,"Strong semantic match (0.60) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0069905,18,0.5961,"Strong semantic match (0.60) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0061339,19,0.5945,"Strong semantic match (0.59) with 4 years of relevant experience, demonstrating hands-on expertise in Retrieval. Excellent alignment with target product-engineering scale and structural background."
CAND_0052682,20,0.5944,"Strong semantic match (0.59) with 6 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0079387,21,0.594,"Strong semantic match (0.59) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0053695,22,0.5935,"Strong semantic match (0.59) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0007009,23,0.5925,"Strong semantic match (0.59) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0011162,24,0.592,"Strong semantic match (0.59) with 5 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0002025,25,0.5915,"Strong semantic match (0.59) with 5 years of relevant experience, demonstrating hands-on expertise in Python, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0071974,26,0.59,"Strong semantic match (0.59) with 7 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0003977,27,0.5875,"Strong semantic match (0.59) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0086151,28,0.584,"Strong semantic match (0.58) with 7 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0064904,29,0.5832,"Strong semantic match (0.58) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0051615,30,0.5807,"Strong semantic match (0.58) with 4 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
